apt_name_dp,apt_IATA_dp,apt_time_dt_dp,apt_time_tm_dp,Country_dp,City_dp,apt_name_ds,apt_IATA_ds,apt_time_dt_ds,apt_time_tm_ds,City_ds,Country_ds,trip_class,price,ticket_sold_by,travel_type
John F. Kennedy International Airport,JFK,2025-12-06,21:15:00,USA,New York,Dublin Airport,DUB,2025-12-07,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
John F. Kennedy International Airport,JFK,2025-12-13,17:00:00,USA,New York,Dublin Airport,DUB,2025-12-14,04:20:00,Dublin,Ireland,Economy,692,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-13,17:15:00,USA,New York,Auckland Airport,AKL,2025-12-15,04:55:00,Auckland,New Zealand,Economy,3233,['American'],One way
John F. Kennedy International Airport,JFK,2025-12-13,19:20:00,USA,New York,Auckland Airport,AKL,2025-12-15,07:30:00,Auckland,New Zealand,Economy,2766,['United'],One way
John F. Kennedy International Airport,JFK,2025-12-13,21:10:00,USA,New York,Dublin Airport,DUB,2025-12-14,08:40:00,Dublin,Ireland,Economy,659,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-13,21:15:00,USA,New York,Dublin Airport,DUB,2025-12-14,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
John F. Kennedy International Airport,JFK,2025-12-13,22:00:00,USA,New York,Dublin Airport,DUB,2025-12-14,09:30:00,Dublin,Ireland,Economy,722,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-20,17:00:00,USA,New York,Dublin Airport,DUB,2025-12-21,04:25:00,Dublin,Ireland,Economy,2014,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-20,17:15:00,USA,New York,Auckland Airport,AKL,2025-12-22,04:55:00,Auckland,New Zealand,Economy,5914,['American'],One way
John F. Kennedy International Airport,JFK,2025-12-20,19:20:00,USA,New York,Auckland Airport,AKL,2025-12-22,07:30:00,Auckland,New Zealand,Economy,3926,['United'],One way
John F. Kennedy International Airport,JFK,2025-12-20,21:10:00,USA,New York,Dublin Airport,DUB,2025-12-21,08:40:00,Dublin,Ireland,Economy,2014,"['Iberia', 'American']",One way
John F. Kennedy International Airport,JFK,2025-12-20,21:15:00,USA,New York,Dublin Airport,DUB,2025-12-21,08:45:00,Dublin,Ireland,Economy,2321,['KLM'],One way
John F. Kennedy International Airport,JFK,2025-12-20,22:00:00,USA,New York,Dublin Airport,DUB,2025-12-21,09:30:00,Dublin,Ireland,Economy,2014,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-27,17:00:00,USA,New York,Dublin Airport,DUB,2025-12-28,04:25:00,Dublin,Ireland,Economy,1733,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-27,17:15:00,USA,New York,Auckland Airport,AKL,2025-12-29,04:55:00,Auckland,New Zealand,Economy,2641,['American'],One way
John F. Kennedy International Airport,JFK,2025-12-27,19:20:00,USA,New York,Auckland Airport,AKL,2025-12-29,07:30:00,Auckland,New Zealand,Economy,2495,['United'],One way
John F. Kennedy International Airport,JFK,2025-12-27,21:10:00,USA,New York,Dublin Airport,DUB,2025-12-28,08:40:00,Dublin,Ireland,Economy,1496,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2025-12-27,21:15:00,USA,New York,Dublin Airport,DUB,2025-12-28,08:45:00,Dublin,Ireland,Economy,841,['KLM'],One way
John F. Kennedy International Airport,JFK,2025-12-27,22:00:00,USA,New York,Dublin Airport,DUB,2025-12-28,09:30:00,Dublin,Ireland,Economy,1102,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-03,17:00:00,USA,New York,Dublin Airport,DUB,2026-01-04,04:25:00,Dublin,Ireland,Economy,1733,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-03,17:15:00,USA,New York,Auckland Airport,AKL,2026-01-05,04:55:00,Auckland,New Zealand,Economy,2641,['American'],One way
John F. Kennedy International Airport,JFK,2026-01-03,19:20:00,USA,New York,Auckland Airport,AKL,2026-01-05,07:30:00,Auckland,New Zealand,Economy,2316,['United'],One way
John F. Kennedy International Airport,JFK,2026-01-03,21:10:00,USA,New York,Dublin Airport,DUB,2026-01-04,08:40:00,Dublin,Ireland,Economy,1733,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-03,21:20:00,USA,New York,Dublin Airport,DUB,2026-01-04,08:45:00,Dublin,Ireland,Economy,738,['KLM'],One way
John F. Kennedy International Airport,JFK,2026-01-03,22:00:00,USA,New York,Dublin Airport,DUB,2026-01-04,09:30:00,Dublin,Ireland,Economy,1733,"['Iberia', 'American']",One way
John F. Kennedy International Airport,JFK,2026-01-10,17:00:00,USA,New York,Dublin Airport,DUB,2026-01-11,04:20:00,Dublin,Ireland,Economy,722,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-10,17:15:00,USA,New York,Auckland Airport,AKL,2026-01-12,04:55:00,Auckland,New Zealand,Economy,1733,['American'],One way
John F. Kennedy International Airport,JFK,2026-01-10,19:20:00,USA,New York,Auckland Airport,AKL,2026-01-12,07:30:00,Auckland,New Zealand,Economy,2135,['United'],One way
John F. Kennedy International Airport,JFK,2026-01-10,21:00:00,USA,New York,Dublin Airport,DUB,2026-01-11,08:40:00,Dublin,Ireland,Economy,1733,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-10,21:20:00,USA,New York,Dublin Airport,DUB,2026-01-11,08:45:00,Dublin,Ireland,Economy,698,['KLM'],One way
John F. Kennedy International Airport,JFK,2026-01-17,17:00:00,USA,New York,Dublin Airport,DUB,2026-01-18,04:20:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-17,17:15:00,USA,New York,Auckland Airport,AKL,2026-01-19,04:55:00,Auckland,New Zealand,Economy,1733,['American'],One way
John F. Kennedy International Airport,JFK,2026-01-17,19:20:00,USA,New York,Auckland Airport,AKL,2026-01-19,07:30:00,Auckland,New Zealand,Economy,1955,['United'],One way
John F. Kennedy International Airport,JFK,2026-01-17,21:00:00,USA,New York,Dublin Airport,DUB,2026-01-18,08:40:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-17,21:20:00,USA,New York,Dublin Airport,DUB,2026-01-18,08:45:00,Dublin,Ireland,Economy,455,['KLM'],One way
John F. Kennedy International Airport,JFK,2026-01-24,17:00:00,USA,New York,Dublin Airport,DUB,2026-01-25,04:20:00,Dublin,Ireland,Economy,455,"['American', 'Iberia']",One way
John F. Kennedy International Airport,JFK,2026-01-24,17:15:00,USA,New York,Auckland Airport,AKL,2026-01-26,04:55:00,Auckland,New Zealand,Economy,1474,['American'],One way
